name,price,processor,ram,os,storage,display,warranty
Lenovo IdeaPad Slim 5i Intel Core i5 11th Gen 1135G7 - (16 GB/512 GB SSD/Windows 11 Home) 82FG014DIN|8...,"₹64,990",Intel Core i5 Processor (11th Gen),16 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display,1 Year Warranty
Lenovo IdeaPad 3 Intel Intel Celeron Dual Core 4th Gen N4020 - (4 GB/256 GB SSD/Windows 11 Home) 14IGL...,"₹40,490",Intel Celeron Dual Core Processor (4th Gen),4 GB DDR4 RAM,64 bit Windows 10 Operating System,256 GB SSD,35.56 cm (14 inch) Display,1 Year Onsite�Warranty
HP 247 G8 AMD Ryzen 5 Dual Core 3500U - (8 GB/512 GB SSD/Windows 11 Home) 247 G8 Notebook,"₹33,490",AMD Ryzen 5 Dual Core Processor,8 GB DDR4 RAM,64 bit DOS Operating System,512 GB SSD,35.56 cm (14 inch) Display,1 year warranty
"ASUS Vivobook Pro 15 For Creator, Intel H Series Intel Core i9 11th Gen 11900H - (16 GB/512 GB SSD/Win...","₹1,19,000",Intel Core i9 Processor (11th Gen),16 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display,1 Year Onsite Warranty
ASUS Intel Core i3 10th Gen 10110U - (4 GB/1 TB HDD/Windows 10 Home) X409FA-BV301T Thin and Light Lapt...,"₹34,990",Intel Core i3 Processor (10th Gen),4 GB DDR4 RAM,64 bit Windows 10 Operating System,,35.56 cm (14 inch) Display,1 Year Onsite Warranty
Infinix GT Book Intel Core i9 13th Gen 13900H - (32 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA G...,"₹1,09,990",Intel Core i9 Processor (13th Gen),32 GB LPDDR5X RAM,Windows 11 Operating System,1 TB SSD,40.64 cm (16 inch) Display,1 Year Domestic Onsite Warranty On Laptop and 6 Months On Adapter
MSI GF63 Intel Core i7 11th Gen 11800H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForc...,"₹89,990",Intel Core i7 Processor (11th Gen),16 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display,2 Year Carry-in Warranty
MSI Modern 14 Intel Core i5 10th Gen 10210U - (8 GB/512 GB SSD/Windows 10 Home) Modern 14 B10MW-639IN ...,"₹44,190",Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,35.56 cm (14 inch) Display,1 Year On-Site Warranty
ASUS VivoBook 14 Intel Core i3 10th Gen 10110U - (4 GB/256 GB SSD/Windows 10 Home) X412FA-EK362T Thin ...,"₹35,990",Intel Core i3 Processor (10th Gen),4 GB DDR4 RAM,64 bit Windows 10 Operating System,256 GB SSD,35.56 cm (14 inch) Display,1 Year Onsite Warranty
Lenovo Yoga Intel Core i5 13th Gen 13500H - (16 GB/1 TB SSD/Windows 11 Home) 14IRH8 Thin and Light Lap...,"₹85,690",Intel Core i5 Processor (13th Gen),16 GB LPDDR5X RAM,Windows 11 Operating System,1 TB SSD,35.56 cm (14 inch) Display,1 Year Carry-in Warranty
Acer Swift Go 14 OLED EVO Intel Core i7 13th Gen 13700H - (16 GB/1 TB SSD/Windows 11 Home) SFG14-71-70...,"₹69,990",Intel Core i7 Processor (13th Gen),16 GB LPDDR5 RAM,64 bit Windows 11 Home Operating System,1 TB SSD,35.56 cm (14 inch) Display,1 Year Warranty
Thomson NEO Core Series Intel Core i3 12th Gen 1215U - (8 GB/256 GB SSD/Windows 11 Home) IN-N15I Thin ...,"₹24,990",Intel Core i3 Processor (12th Gen),8 GB LPDDR4 RAM,Windows 11 Operating System,256 GB SSD,39.62 cm (15.6 inch) Display,1 Year Onsite warranty
Lenovo IdeaPad 3 Intel Intel Core i3 11th Gen 1115G4 - (8 GB/256 GB SSD/Windows 11 Home) 14ITL05 Thin ...,"₹36,990",Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,256 GB SSD,35.56 cm (14 inch) Display,2 Year Onsite�Warranty
HP Victus Intel Core i5 12th Gen 12450H - (8 GB/512 GB SSD/Windows 11 Home/Intel Integrated NVIDIA® Ge...,"₹62,390",Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,Windows 11 Home Operating System,512 GB SSD,39.62 cm (15.6 inch) Display,1 year manufacturer warranty
DELL Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) Vostro 3420 Thin and Light Lapto...,"₹36,750",Intel Core i3 Processor (12th Gen),8 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,35.56 cm (14 Inch) Display,
MSI Summit E14FlipEvo Intel Core i7 13th Gen 1360P - (16 GB/1 TB SSD/Windows 11 Home) Summit E14FlipEv...,"₹1,34,990",Intel Core i7 Processor (13th Gen),16 GB LPDDR5 RAM,Windows 11 Operating System,1 TB SSD,35.56 cm (14 Inch) Display,2 Year Carry-in Warranty
DELL Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) New Inspiron 14 2-in-1 2 in 1 La...,"₹65,947",Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,35.56 cm (14 Inch) Touchscreen Display,
DELL Inspiron Intel Core i3 11th Gen 1115G4 - (8 GB/1 TB HDD/256 GB SSD/Windows 11 Home) Inspiron 3511...,"₹59,839",Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,1 TB HDD|256 GB SSD,96.52 cm (38 cm) Display,1 Year Onsite Warranty
Acer One 11 Intel Celeron Dual Core N4500 - (8 GB/256 GB SSD/Windows 11 Home) Z8-284 Thin and Light La...,"₹39,999",Intel Celeron Dual Core Processor,8 GB DDR4 RAM,Windows 11 Operating System,256 GB SSD,29.46 cm (11.6 Inch) Display,1 Year Onsite Warranty
MSI Prestige 16 Intel Core i7 13th Gen 13700H - (16 GB/1 TB SSD/Windows 11 Home/4 GB Graphics) Prestig...,"₹1,45,626",Intel Core i7 Processor (13th Gen),16 GB LPDDR5 RAM,Windows 11 Operating System,1 TB SSD,40.64 cm (16 Inch) Display,2 Year Carry-in warranty
MSI Modern 14 Intel Core i7 13th Gen 1355U - (16 GB/512 GB SSD/Windows 11 Home) Modern 14 C13M-435IN T...,"₹60,190",Intel Core i7 Processor (13th Gen),16 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,35.56 cm (14 Inch) Display,1 Year Carry-in Warranty
Apple Apple M4 - (24 GB/1 TB SSD/macOS Sequoia) MCX14HN/A,"₹2,09,900",Apple M4 Processor,24 GB Unified Memory RAM,Mac OS Operating System,1 TB SSD,35.56 cm (14 Inch) Display,1 Year Limited Warranty
